MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2007040601,1,1,1,0.000000,0,0,0,0,王皓,1,26,1,26,1,14,1,14,9,2,3,12
2007040601,1,2,1,2.889909,0,0,1,0,王皓,1,14,1,14,9,10,1,4,5,6,3,8
2007040601,1,2,2,22.080848,0,0,1,0,吴尚垠,14,13,14,9,10,7,4,7,6,5,8,3
2007040601,1,2,3,22.626433,0,0,1,0,王皓,13,22,9,6,7,8,7,6,5,4,3,4
2007040601,1,2,4,23.351191,0,0,1,0,吴尚垠,22,21,6,5,8,7,6,5,4,9,4,3
2007040601,1,2,5,23.752667,0,0,1,0,王皓,21,26,5,26,7,14,5,14,9,2,3,12
2007040601,1,3,1,25.260317,0,0,2,0,吴尚垠,2,11,2,13,2,5,2,3,6,3,8,7
2007040601,1,3,2,37.902569,0,0,2,0,王皓,11,6,13,25,5,13,3,13,3,10,7,11
2007040601,1,3,3,37.902569,0,0,2,0,吴尚垠,6,25,25,0,13,0,13,0,10,0,11,0
2007040601,1,4,1,37.902569,1,0,2,0,吴尚垠,2,11,2,11,2,7,2,3,6,5,8,7
2007040601,1,4,2,48.990297,1,0,2,0,王皓,11,22,11,4,7,10,3,8,5,6,7,4
2007040601,1,4,3,49.078238,1,0,2,0,吴尚垠,22,21,4,15,10,7,8,9,6,5,4,3
2007040601,1,4,4,49.681606,1,0,2,0,王皓,21,16,15,6,7,10,9,8,5,6,3,4
2007040601,1,4,5,50.216007,1,0,2,0,吴尚垠,16,15,6,5,10,9,8,5,6,9,4,3
2007040601,1,4,6,50.700653,1,0,2,0,王皓,15,26,5,26,9,14,5,14,9,2,3,12
2007040601,1,5,1,50.700653,1,0,3,0,王皓,1,14,1,12,1,10,1,4,5,6,7,8
2007040601,1,5,2,62.494921,1,0,3,0,吴尚垠,14,21,12,3,10,7,4,7,6,5,8,3
2007040601,1,5,3,63.321519,1,0,3,0,王皓,21,16,3,16,7,8,7,10,5,6,3,4
2007040601,1,5,4,63.859508,1,0,3,0,吴尚垠,16,21,16,3,8,7,10,7,6,5,4,3
2007040601,1,5,5,64.199678,1,0,3,0,王皓,21,16,3,16,7,8,7,10,5,10,3,4
2007040601,1,5,6,65.078603,1,0,3,0,吴尚垠,16,25,16,25,8,13,10,13,10,1,4,11
2007040601,1,6,1,65.078603,2,0,3,0,王皓,1,12,1,14,1,10,1,4,5,6,3,4
2007040601,1,6,2,78.126250,2,0,3,0,吴尚垠,12,7,14,9,10,5,4,7,6,5,4,3
2007040601,1,6,3,78.202862,2,0,3,0,王皓,7,16,9,16,5,8,7,10,5,6,3,4
2007040601,1,6,4,79.417277,2,0,3,0,吴尚垠,16,9,16,5,8,5,10,7,6,5,4,3
2007040601,1,6,5,79.568057,2,0,3,0,王皓,9,16,5,16,5,10,7,10,5,10,3,4
2007040601,1,6,6,80.963898,2,0,3,0,吴尚垠,16,25,16,25,10,13,10,13,10,1,4,11
2007040601,1,7,1,80.636177,3,0,3,0,吴尚垠,2,21,2,3,2,7,2,3,6,5,8,3
2007040601,1,7,2,97.344603,3,0,3,0,王皓,21,22,3,6,7,8,3,6,5,4,3,4
2007040601,1,7,3,97.879848,3,0,3,0,吴尚垠,22,21,6,5,8,7,6,5,4,9,4,3
2007040601,1,7,4,98.267934,3,0,3,0,王皓,21,26,5,26,7,14,5,14,9,2,3,12
2007040601,1,8,1,98.267934,3,0,4,0,吴尚垠,2,5,2,13,2,5,2,3,6,5,8,7
2007040601,1,8,2,107.988057,3,0,4,0,王皓,5,14,13,14,5,10,3,12,5,6,7,8
2007040601,1,8,3,107.755202,3,0,4,0,吴尚垠,14,11,14,9,10,7,12,7,6,5,8,3
2007040601,1,8,4,108.666288,3,0,4,0,王皓,11,22,9,6,7,8,7,6,5,4,3,4
2007040601,1,8,5,109.225653,3,0,4,0,吴尚垠,22,15,6,5,8,7,6,5,4,9,4,3
